State (Emission order)	H3K27ac	H3K9ac	H3K4me1	H3K4me2	H3K4me3	H3K9me3	H3K27me3	H3K36me3
1	0.915692386	0.984696767	0.116396067	0.980758325	1	0.007284914	0.015660908	0.006857113
2	0.0754244	0.863938216	0.518615191	0.99758329	1	0.009935441	0.040966215	0.031274476
3	0.048362699	0.626921114	0.714293235	0.944604202	0.838556669	0.019760193	0.92852912	0.004903466
4	0.878129661	0.91714014	0.710701913	0.899608074	0.900202305	0.297495556	0.85699372	0.32936319
5	0.893804051	0.914295856	0.940286824	0.980734067	0.554698962	0.004092074	0.074610081	0.03176197
6	0.735622619	0.40711407	0.836687377	0.205071322	0.005677057	0.009859251	0.025619112	0.020939962
7	0.071301801	0.081101805	0.324785518	0.008026481	3.95E-04	0.00886043	0.022898914	0.010703688
8	0.033502879	0.291935033	0.44604346	0.599595759	0.223610793	0.010033391	0.046352894	0.01459298
9	0.006602588	0.010043304	0.004281773	0.001667375	0.001431017	0.009422435	0.002382379	0.644098017
10	0.121763878	0.156863095	3.83E-01	0.051910629	0.045862154	0.012241491	0.022131155	0.460373777
11	0.005438485	0.020060061	0.088133407	0.018689673	0.010093029	0.035368951	0.882854418	0.013088906
12	0.123643469	0.230254071	0.791762325	0.146725206	0.006352404	0.009195675	0.419901786	0.010442353
13	0.019143451	0.0095948	0.022346446	0.008512454	0.01606454	0.741964585	0.034034529	0.677628419
14	0.001110411	4.08E-04	7.52E-04	3.87E-04	1.77E-04	0.401664652	0.002938764	0.015603606
15	0.006249976	0.011267441	0.007847214	9.26E-04	4.97E-04	0.00641489	0.001975418	0.122802521
16	0.002555693	0.011443534	1.22E-02	0.001563762	3.24E-04	0.011249351	0.180333839	0.005246561
17	2.38E-03	0.00510848	4.77E-03	7.67E-04	1.18E-04	1.04E-02	0.006474763	0.004432945
18	4.00E-04	2.12E-04	6.91E-04	9.36E-05	4.48E-06	0.005554561	4.79E-04	6.01E-04
