State (Emission order)	H3K27ac	H3K9ac	H3K4me1	H3K4me2	H3K4me3	H3K9me3	H3K27me3	H3K36me3
1	9.53E-01	9.52E-01	5.47E-02	9.61E-01	1.00E+00	0.001764466	0.004388216	3.82E-03
2	9.93E-01	9.52E-01	1.00E+00	1.00E+00	1.00E+00	4.41E-04	0.036374668	2.69E-02
3	0.261852232	0.687880836	0.931019266	0.972510936	9.61E-01	0.051649496	0.868158395	0.057648302
4	0.076012786	0.155811266	0.759473012	0.444313992	0.205981402	8.75E-04	0.045871666	0.007759388
5	0.964543281	0.483562948	0.993648657	7.28E-01	1.56E-01	2.95E-04	0.041067085	0.024443821
6	0.864544986	0.106856563	0.899627933	1.88E-02	3.60E-05	8.65E-04	0.021467557	0.010076425
7	0.082137428	0.075506036	0.759293109	0.100000699	0.056637235	1.50E-03	0.687030203	0.009198336
8	0.692328828	0.120224994	7.20E-01	1.79E-02	1.14E-02	0.001461727	0.006569148	0.694098741
9	0.035339173	0.07889635	0.691219927	2.56E-02	3.35E-02	0.001605206	0.00998452	0.55904681
10	0.072959372	0.67981894	0.92565541	0.988802553	9.69E-01	0.001127088	0.028979427	0.073333733
11	0.008077902	0.012877291	0.007981251	1.87E-04	5.45E-04	0.002280817	0.001689911	0.862697771
12	9.86E-04	0.008798343	7.29E-03	5.61E-04	1.19E-03	0.003194789	0.506643811	4.26E-03
13	0.010651427	1.71E-02	2.01E-02	7.90E-03	3.06E-02	0.550848493	0.108585533	0.649620263
14	0.005604744	0.006250088	0.015818242	1.40E-04	5.47E-05	0.001980522	0.003170091	0.203521447
15	1.76E-04	2.73E-04	1.19E-03	2.99E-05	5.42E-06	2.33E-03	0.001774506	5.06E-04
16	2.30E-05	6.95E-05	1.65E-05	1.91E-05	6.94E-05	0.214154224	8.08E-04	7.66E-03
17	0.001597929	0.003649053	0.005523009	1.30E-04	6.07E-05	0.002695089	0.030028377	0.003432693
18	0.074038854	0.025826722	0.560749038	4.66E-04	7.20E-47	6.41E-04	0.026105509	0.008090019
