State (Emission order)	H3K27ac	H3K9ac	H3K4me1	H3K4me2	H3K4me3	H3K9me3	H3K27me3	H3K36me3
1	0.991406353	0.987334884	0.060619342	0.98223293	1.00E+00	0.001071918	0.0087429	0.001369084
2	9.22E-01	0.622419129	9.47E-01	8.73E-01	4.86E-02	4.60E-04	0.027398345	0.036377707
3	0.05197339	0.739181426	0.048741511	0.967798292	1	0.005278451	0.016981504	0.004568648
4	0.05545549	0.17058889	2.32E-01	0.5507208	6.12E-02	0.004816192	0.049962725	6.36E-04
5	0.961711506	0.970667337	0.817816669	0.994136752	9.63E-01	0.059800989	0.183330754	0.151572491
6	0.092113898	0.389459962	0.878032628	0.924201513	1.30E-01	0.001009895	0.043067185	0.130088864
7	7.62E-01	1.92E-01	7.83E-01	5.50E-02	3.13E-04	0.001474247	1.99E-02	1.99E-02
8	0.063531117	0.071984551	0.736506477	0.025040534	2.64E-04	0.001124058	0.041078934	0.009265134
9	0.189850131	0.906761268	0.9852538	1	1	7.90E-04	0.033913723	0.057400279
10	0.009894263	0.012650301	1.14E-03	2.27E-04	2.69E-04	0.002932615	0.001043923	0.876116272
11	0.21907788	0.148895828	0.331900157	4.35E-02	1.83E-02	0.093498825	0.033499298	0.739501288
12	0.096845442	0.595012593	0.561214142	9.59E-01	7.58E-01	0.00708162	0.858861569	0.004974412
13	0.008085241	0.016469482	0.042780883	9.07E-03	0.003980209	0.008421056	0.610698744	0.005483213
14	1.06E-03	1.15E-04	8.62E-05	2.62E-04	1.01E-03	0.296246994	0.002831413	8.57E-03
15	0.007062867	0.008477885	0.007559576	1.84E-04	7.46E-05	0.003396196	0.001914128	0.211827819
16	0.047980759	2.10E-02	9.09E-02	4.12E-04	1.18E-04	0.001166769	0.013169563	0.00558235
17	5.76E-04	1.46E-04	1.07E-03	4.05E-05	4.85E-06	0.002764236	0.001093468	6.89E-05
18	0.001923206	0.003497162	0.002548472	5.15E-06	3.21E-05	0.004931256	0.020739998	0.001789552
