State (Emission order)	H3K27ac	H3K9ac	H3K4me1	H3K4me2	H3K4me3	H3K9me3	H3K27me3	H3K36me3
1	0.827242794	9.66E-01	1.25E-02	9.90E-01	1.00E+00	0.004188532	0.00608534	0.006499351
2	5.33E-01	9.69E-01	9.98E-01	1.00E+00	1.00E+00	0.001286536	2.79E-02	6.63E-02
3	0.1018283	0.339433942	9.77E-01	0.88596409	3.20E-01	0.003841308	0.03065957	0.174947703
4	6.05E-02	0.127392754	3.90E-01	7.87E-01	4.50E-01	7.63E-03	0.06295081	0.00174457
5	0.952047745	0.584653014	0.994764387	0.937619497	1.40E-01	0.001020561	0.058856083	0.045275259
6	0.750931665	0.200533381	0.955325312	0.073693602	0.001233568	0.002628436	0.039171061	0.02525913
7	0.070037072	0.071064886	0.764887798	0.016980547	2.19E-04	0.001695266	0.098468454	0.00310715
8	0.075565651	0.024858066	0.437918315	0.002546575	5.62E-04	0.002371568	0.003771488	0.019367185
9	0.24879367	0.73842879	0.886717966	0.986817456	0.929856055	0.041350523	0.922614729	0.057414552
10	0.019525017	0.029898129	0.007663652	4.65E-04	0.001532873	0.003776269	0.001730086	0.87933522
11	0.019115535	0.019756523	0.021851815	0.004413879	0.028715367	0.472022976	0.136621264	0.809696377
12	0.267617703	0.18843948	0.667310926	0.034882953	0.0192634	0.004057851	0.026314022	0.780661771
13	0.121384385	0.137107143	0.764525934	1.90E-01	2.67E-02	0.002796845	0.838369784	0.023895485
14	0.005942857	0.022163398	1.44E-02	0.001285637	0.002346553	0.00959474	0.660163749	0.007207362
15	5.17E-04	1.29E-04	1.34E-04	5.16E-05	4.96E-04	0.345232741	0.003386224	0.017963908
16	0.0078091	0.009213348	0.011709211	1.07E-04	1.91E-04	0.002510907	0.00328849	0.156322127
17	0.006023835	0.009504925	0.008086745	1.74E-04	1.86E-04	0.006050824	0.061800518	0.002485755
18	6.01E-04	2.71E-04	0.001656208	1.56E-05	3.81E-06	0.003622662	0.001573145	5.11E-04
